DATE,USD,GBP,EUR,CHF,AUD,CAD,SGD
3/1/2006,3.7785,6.5287,4.4853,2.8851,2.7827,3.2463,2.2798
4/1/2006,3.7748,6.6114,4.5549,2.9366,2.8041,3.2667,2.2916
5/1/2006,3.7659,6.6161,4.5573,2.9451,2.8139,3.282,2.2873
6/1/2006,3.7555,6.5858,4.5402,2.9377,2.8044,3.2314,2.2791
9/1/2006,3.7485,6.6343,4.552,2.9505,2.8224,3.2161,2.2932
11/1/2006,3.7503,6.6119,4.5264,2.9289,2.8114,3.2123,2.2916
12/1/2006,3.7418,6.6104,4.5453,2.936,2.8271,3.2328,2.3033
13/1/2006,3.7423,6.5863,4.5055,2.911,2.811,3.2204,2.2941
16/1/2006,3.7364,6.642,4.5427,2.9317,2.826,3.2223,2.2987
17/1/2006,3.749,6.6237,4.5408,2.9283,2.8266,3.2337,2.297
18/1/2006,3.755,6.6263,4.5449,2.9311,2.8149,3.2294,2.2989
19/1/2006,3.7545,6.6096,4.5398,2.9273,2.8003,3.2066,2.3019
20/1/2006,3.748,6.5813,4.527,2.9145,2.8054,3.217,2.2959
23/1/2006,3.75,6.6846,4.5954,2.967,2.8277,3.2556,2.3125
24/1/2006,3.7485,6.6884,4.6047,2.9759,2.8157,3.25,2.3107
25/1/2006,3.75,6.6827,4.5994,2.9694,2.8168,3.2535,2.3099
26/1/2006,3.748,6.6906,4.5907,2.964,2.8262,3.2546,2.3121
27/1/2006,3.751,6.6811,4.5813,2.9563,2.8191,3.2613,2.3092
3/2/2006,3.7525,6.6793,4.5377,2.9176,2.8251,3.2759,2.2985
6/2/2006,3.7409,6.5857,4.4951,2.8893,2.7924,3.2713,2.2991
7/2/2006,3.7348,6.5328,4.4714,2.871,2.7727,3.2565,2.289
8/2/2006,3.735,6.5189,4.4732,2.8777,2.7628,3.2408,2.2905
9/2/2006,3.73,6.4997,4.4637,2.8713,2.7559,3.2436,2.2851
10/2/2006,3.7255,6.4993,4.4663,2.8693,2.7582,3.2507,2.2858
13/2/2006,3.723,6.4842,4.428,2.8465,2.7427,3.2252,2.285
14/2/2006,3.723,6.4849,4.4311,2.8472,2.7429,3.2196,2.2861
15/2/2006,3.722,6.4616,4.4376,2.8474,2.7563,3.2229,2.2844
16/2/2006,3.724,6.4792,4.4249,2.8411,2.7492,3.2169,2.2831
17/2/2006,3.723,6.4592,4.4227,2.8325,2.7485,3.2129,2.2754
20/2/2006,3.7195,6.4892,4.4498,2.8463,2.755,3.2328,2.2818
21/2/2006,3.7208,6.4855,4.4381,2.8431,2.7468,3.2401,2.2826
22/2/2006,3.7195,6.4915,4.4342,2.8435,2.7472,3.2386,2.2822
23/2/2006,3.7195,6.4784,4.4249,2.8314,2.7333,3.2359,2.28
24/2/2006,3.7153,6.5102,4.4306,2.8401,2.7487,3.2245,2.2837
27/2/2006,3.7135,6.4784,4.4063,2.8176,2.7445,3.2318,2.2878
