DATE,USD,GBP,EUR,CHF,AUD,CAD,SGD
2/1/2015,3.51,5.4598,4.2324,3.519,2.854,3.0162,2.6463
5/1/2015,3.5398,5.4121,4.2282,3.5179,2.8529,2.9975,2.6501
6/1/2015,3.555,5.4248,4.2461,3.5334,2.892,3.0279,2.664
7/1/2015,3.572,5.41,4.2421,3.5319,2.8846,3.0193,2.6755
8/1/2015,3.568,5.3855,4.2197,3.5134,2.8944,3.0175,2.6662
9/1/2015,3.555,5.3656,4.1961,3.4933,2.8934,3.0077,2.66
12/1/2015,3.5505,5.3843,4.2093,3.5041,2.9281,2.9971,2.6658
13/1/2015,3.5755,5.4271,4.2357,3.527,2.9267,2.9904,2.681
14/1/2015,3.594,5.4456,4.2316,3.5234,2.9083,2.9976,2.6899
15/1/2015,3.5715,5.4412,4.2072,3.5035,2.9245,2.985,2.6777
16/1/2015,3.57,5.4221,4.1553,4.1293,2.9422,2.9832,2.6962
19/1/2015,3.5665,5.3993,4.1229,4.1122,2.9279,2.9798,2.6855
20/1/2015,3.5985,5.4229,4.1676,4.0887,2.9391,3.0039,2.688
21/1/2015,3.6225,5.4946,4.1909,4.1502,2.9737,2.9975,2.7103
22/1/2015,3.6115,5.4694,4.1917,4.1853,2.9141,2.9225,2.705
23/1/2015,3.595,5.3968,4.0854,4.1289,2.8843,2.9046,2.6882
26/1/2015,3.607,5.4094,4.0312,4.1019,2.8429,2.8961,2.6815
27/1/2015,3.61,5.4493,4.0566,4.0013,2.8636,2.8908,2.6857
28/1/2015,3.624,5.4965,4.1096,4.0018,2.8952,2.9148,2.6798
29/1/2015,3.634,5.5024,4.0977,3.9886,2.8656,2.9017,2.6851
30/1/2015,3.6235,5.4617,4.1042,3.9354,2.8207,2.8691,2.6814
4/2/2015,3.558,5.3918,4.0785,3.8415,2.7774,2.866,2.645
5/2/2015,3.573,5.4327,4.0582,3.8717,2.7807,2.8474,2.651
6/2/2015,3.5525,5.4456,4.074,3.8489,2.7798,2.8559,2.6407
9/2/2015,3.56,5.4308,4.036,3.8505,2.7659,2.8462,2.6317
10/2/2015,3.5815,5.4586,4.0609,3.8799,2.8043,2.8754,2.6478
11/2/2015,3.597,5.4849,4.0714,3.8819,2.7945,2.8579,2.6516
12/2/2015,3.6215,5.513,4.0974,3.8945,2.7755,2.8669,2.6596
13/2/2015,3.5815,5.5171,4.0876,3.8581,2.7826,2.8652,2.642
16/2/2015,3.569,5.5077,4.0762,3.8405,2.7795,2.8717,2.6354
17/2/2015,3.5925,5.5231,4.0814,3.8542,2.802,2.8865,2.6512
18/2/2015,3.594,5.5179,4.099,3.8397,2.8112,2.9,2.6479
23/2/2015,3.641,5.5999,4.1449,3.8596,2.8516,2.8996,2.6769
24/2/2015,3.627,5.5997,4.1103,3.8189,2.8184,2.881,2.6661
25/2/2015,3.6245,5.6086,4.1134,3.8155,2.8556,2.9087,2.6711
26/2/2015,3.598,5.5938,4.0904,3.7898,2.8264,2.8951,2.6591
27/2/2015,3.6113,5.5741,4.0495,3.7981,2.8161,2.8905,2.6618
2/3/2015,3.627,5.5849,4.0535,3.7983,2.8153,2.9003,2.6584
3/3/2015,3.6275,5.576,4.0586,3.7921,2.8324,2.8963,2.6589
4/3/2015,3.6285,5.5721,4.0547,3.776,2.8375,2.9035,2.663
5/3/2015,3.6565,5.5776,4.0466,3.7887,2.8596,2.9406,2.6721
6/3/2015,3.6475,5.5621,4.0223,3.7489,2.8465,2.9235,2.663
9/3/2015,3.688,5.5539,3.9972,3.7371,2.837,2.9233,2.67
10/3/2015,3.6965,5.5762,3.9917,3.734,2.8269,2.9244,2.6681
11/3/2015,3.714,5.6011,3.9673,3.7192,2.8223,2.9265,2.6769
12/3/2015,3.696,5.5144,3.8801,3.6491,2.8032,2.8961,2.6633
13/3/2015,3.6965,5.4969,3.9237,3.6796,2.8395,2.908,2.6696
16/3/2015,3.7075,5.4719,3.9003,3.6858,2.8338,2.896,2.6623
17/3/2015,3.6995,5.4834,3.9076,3.6712,2.8222,2.8925,2.6629
18/3/2015,3.7,5.4616,3.9244,3.6798,2.8209,2.893,2.6645
19/3/2015,3.68,5.4797,3.963,3.7115,2.8468,2.9208,2.6621
20/3/2015,3.7225,5.4981,3.9769,3.7628,2.8563,2.9345,2.6844
23/3/2015,3.6883,5.509,3.9864,3.7703,2.8796,2.9332,2.6772
24/3/2015,3.6745,5.4851,4.0074,3.7909,2.8825,2.9289,2.6825
25/3/2015,3.6575,5.4385,3.9991,3.8131,2.8839,2.9268,2.6768
26/3/2015,3.679,5.4751,4.0379,3.8343,2.8742,2.9446,2.6844
27/3/2015,3.6675,5.4473,3.9904,3.8033,2.8621,2.9352,2.6783
30/3/2015,3.7085,5.5101,4.0298,3.853,2.8659,2.9388,2.6978
31/3/2015,3.7165,5.4935,4.0153,3.8358,2.8329,2.9264,2.6997
1/4/2015,3.6855,5.4772,3.9735,3.7999,2.8137,2.9136,2.6953
2/4/2015,3.6835,5.4637,3.9664,3.8149,2.791,2.9213,2.7029
3/4/2015,3.6635,5.4311,3.983,3.815,2.783,2.9166,2.6979
6/4/2015,3.6225,5.4051,3.9795,3.8032,2.7636,2.9051,2.6791
7/4/2015,3.635,5.4154,3.9761,3.7981,2.763,2.915,2.6799
8/4/2015,3.644,5.4044,3.9499,3.7773,2.7908,2.9168,2.6826
9/4/2015,3.6295,5.4016,3.9126,3.7514,2.7945,2.8915,2.6765
10/4/2015,3.6445,5.3631,3.8914,3.7341,2.8077,2.8961,2.6811
13/4/2015,3.6975,5.4033,3.9179,3.7733,2.8081,2.9303,2.7017
14/4/2015,3.704,5.431,3.9125,3.7889,2.8163,2.9437,2.7157
15/4/2015,3.7225,5.492,3.955,3.8183,2.8248,2.9794,2.7296
16/4/2015,3.6575,5.4286,3.9128,3.7976,2.8368,2.9799,2.6999
17/4/2015,3.637,5.4282,3.916,3.8008,2.827,2.9814,2.6961
20/4/2015,3.6235,5.4204,3.9083,3.8008,2.8271,2.969,2.6931
21/4/2015,3.6435,5.4224,3.9075,3.806,2.8037,2.9711,2.6974
22/4/2015,3.619,5.4035,3.8816,3.7879,2.8082,2.9496,2.6801
23/4/2015,3.6205,5.4407,3.877,3.7336,2.8046,2.9564,2.6896
24/4/2015,3.5995,5.4127,3.8846,3.7624,2.7981,2.963,2.6852
27/4/2015,3.5645,5.4081,3.8689,3.7338,2.7849,2.9301,2.6752
