"indicator","session","currency","Unit","Date","Value"
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","01/03/2006",3.7785
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","01/04/2006",3.7748
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","01/05/2006",3.7659
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","01/06/2006",3.7555
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","01/09/2006",3.7485
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","01/11/2006",3.7503
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","01/12/2006",3.7418
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","01/13/2006",3.7423
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","01/16/2006",3.7364
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","01/17/2006",3.749
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","01/18/2006",3.755
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","01/19/2006",3.7545
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","01/20/2006",3.748
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","01/23/2006",3.75
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","01/24/2006",3.7485
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","01/25/2006",3.75
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","01/26/2006",3.748
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","01/27/2006",3.751
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","02/03/2006",3.7525
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","02/06/2006",3.7409
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","02/07/2006",3.7348
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","02/08/2006",3.735
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","02/09/2006",3.73
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","02/10/2006",3.7255
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","02/13/2006",3.723
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","02/14/2006",3.723
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","02/15/2006",3.722
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","02/16/2006",3.724
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","02/17/2006",3.723
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","02/20/2006",3.7195
