"indicator","session","currency","Unit","Date","Value"
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","01/03/2006",2.2798
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","01/04/2006",2.2916
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","01/05/2006",2.2873
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","01/06/2006",2.2791
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","01/09/2006",2.2932
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","01/11/2006",2.2916
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","01/12/2006",2.3033
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","01/13/2006",2.2941
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","01/16/2006",2.2987
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","01/17/2006",2.297
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","01/18/2006",2.2989
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","01/19/2006",2.3019
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","01/20/2006",2.2959
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","01/23/2006",2.3125
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","01/24/2006",2.3107
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","01/25/2006",2.3099
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","01/26/2006",2.3121
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","01/27/2006",2.3092
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","02/03/2006",2.2985
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","02/06/2006",2.2991
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","02/07/2006",2.289
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","02/08/2006",2.2905
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","02/09/2006",2.2851
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","02/10/2006",2.2858
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","02/13/2006",2.285
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","02/14/2006",2.2861
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","02/15/2006",2.2844
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","02/16/2006",2.2831
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","02/17/2006",2.2754
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","02/20/2006",2.2818
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","02/21/2006",2.2826
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","02/22/2006",2.2822
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","02/23/2006",2.28
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","02/24/2006",2.2837
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","02/27/2006",2.2878
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","02/28/2006",2.2857
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","03/01/2006",2.2918
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","03/02/2006",2.2911
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","03/03/2006",2.288
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","03/06/2006",2.2833
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","03/07/2006",2.2804
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","03/08/2006",2.278
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","03/09/2006",2.283
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","03/10/2006",2.2854
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","03/13/2006",2.2845
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","03/14/2006",2.2888
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","03/15/2006",2.2855
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","03/16/2006",2.2885
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","03/17/2006",2.289
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","03/20/2006",2.2902
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","03/21/2006",2.2888
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","03/22/2006",2.28
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","03/23/2006",2.2813
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","03/24/2006",2.2808
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","03/27/2006",2.2846
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","03/28/2006",2.2816
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","03/29/2006",2.2799
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","03/30/2006",2.2798
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","03/31/2006",2.2778
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","04/03/2006",2.2772
