"indicator","session","currency","Unit","Date","Value"
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","01/03/2006",2.7827
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","01/04/2006",2.8041
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","01/05/2006",2.8139
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","01/06/2006",2.8044
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","01/09/2006",2.8224
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","01/11/2006",2.8114
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","01/12/2006",2.8271
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","01/13/2006",2.811
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","01/16/2006",2.826
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","01/17/2006",2.8266
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","01/18/2006",2.8149
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","01/19/2006",2.8003
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","01/20/2006",2.8054
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","01/23/2006",2.8277
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","01/24/2006",2.8157
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","01/25/2006",2.8168
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","01/26/2006",2.8262
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","01/27/2006",2.8191
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","02/03/2006",2.8251
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","02/06/2006",2.7924
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","02/07/2006",2.7727
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","02/08/2006",2.7628
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","02/09/2006",2.7559
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","02/10/2006",2.7582
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","02/13/2006",2.7427
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","02/14/2006",2.7429
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","02/15/2006",2.7563
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","02/16/2006",2.7492
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","02/17/2006",2.7485
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","02/20/2006",2.755
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","02/21/2006",2.7468
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","02/22/2006",2.7472
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","02/23/2006",2.7333
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","02/24/2006",2.7487
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","02/27/2006",2.7445
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","02/28/2006",2.74
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","03/01/2006",2.7582
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","03/02/2006",2.7643
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","03/03/2006",2.7563
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","03/06/2006",2.7625
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","03/07/2006",2.7432
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","03/08/2006",2.7277
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","03/09/2006",2.7381
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","03/10/2006",2.7347
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","03/13/2006",2.7266
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","03/14/2006",2.7258
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","03/15/2006",2.7391
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","03/16/2006",2.7363
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","03/17/2006",2.726
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","03/20/2006",2.6866
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","03/21/2006",2.6642
