"indicator","session","currency","Unit","Date","Value"
"Middle Rate","1200","Euro","Malaysian ringgit","01/03/2006",4.4853
"Middle Rate","1200","Euro","Malaysian ringgit","01/04/2006",4.5549
"Middle Rate","1200","Euro","Malaysian ringgit","01/05/2006",4.5573
"Middle Rate","1200","Euro","Malaysian ringgit","01/06/2006",4.5402
"Middle Rate","1200","Euro","Malaysian ringgit","01/09/2006",4.552
"Middle Rate","1200","Euro","Malaysian ringgit","01/11/2006",4.5264
"Middle Rate","1200","Euro","Malaysian ringgit","01/12/2006",4.5453
"Middle Rate","1200","Euro","Malaysian ringgit","01/13/2006",4.5055
"Middle Rate","1200","Euro","Malaysian ringgit","01/16/2006",4.5427
"Middle Rate","1200","Euro","Malaysian ringgit","01/17/2006",4.5408
"Middle Rate","1200","Euro","Malaysian ringgit","01/18/2006",4.5449
"Middle Rate","1200","Euro","Malaysian ringgit","01/19/2006",4.5398
"Middle Rate","1200","Euro","Malaysian ringgit","01/20/2006",4.527
"Middle Rate","1200","Euro","Malaysian ringgit","01/23/2006",4.5954
"Middle Rate","1200","Euro","Malaysian ringgit","01/24/2006",4.6047
"Middle Rate","1200","Euro","Malaysian ringgit","01/25/2006",4.5994
"Middle Rate","1200","Euro","Malaysian ringgit","01/26/2006",4.5907
"Middle Rate","1200","Euro","Malaysian ringgit","01/27/2006",4.5813
"Middle Rate","1200","Euro","Malaysian ringgit","02/03/2006",4.5377
"Middle Rate","1200","Euro","Malaysian ringgit","02/06/2006",4.4951
"Middle Rate","1200","Euro","Malaysian ringgit","02/07/2006",4.4714
"Middle Rate","1200","Euro","Malaysian ringgit","02/08/2006",4.4732
"Middle Rate","1200","Euro","Malaysian ringgit","02/09/2006",4.4637
"Middle Rate","1200","Euro","Malaysian ringgit","02/10/2006",4.4663
"Middle Rate","1200","Euro","Malaysian ringgit","02/13/2006",4.428
"Middle Rate","1200","Euro","Malaysian ringgit","02/14/2006",4.4311
"Middle Rate","1200","Euro","Malaysian ringgit","02/15/2006",4.4376
"Middle Rate","1200","Euro","Malaysian ringgit","02/16/2006",4.4249
"Middle Rate","1200","Euro","Malaysian ringgit","02/17/2006",4.4227
"Middle Rate","1200","Euro","Malaysian ringgit","02/20/2006",4.4498
"Middle Rate","1200","Euro","Malaysian ringgit","02/21/2006",4.4381
"Middle Rate","1200","Euro","Malaysian ringgit","02/22/2006",4.4342
"Middle Rate","1200","Euro","Malaysian ringgit","02/23/2006",4.4249
"Middle Rate","1200","Euro","Malaysian ringgit","02/24/2006",4.4306
"Middle Rate","1200","Euro","Malaysian ringgit","02/27/2006",4.4063
"Middle Rate","1200","Euro","Malaysian ringgit","02/28/2006",4.4055
"Middle Rate","1200","Euro","Malaysian ringgit","03/01/2006",4.4336
"Middle Rate","1200","Euro","Malaysian ringgit","03/02/2006",4.4212
"Middle Rate","1200","Euro","Malaysian ringgit","03/03/2006",4.4533
"Middle Rate","1200","Euro","Malaysian ringgit","03/06/2006",4.4733
"Middle Rate","1200","Euro","Malaysian ringgit","03/07/2006",4.45
"Middle Rate","1200","Euro","Malaysian ringgit","03/08/2006",4.4218
"Middle Rate","1200","Euro","Malaysian ringgit","03/09/2006",4.4445
